,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_dls
5824,29735325,Depto en Buenos Aires bien ubicado a mts subte A,118424741,Natalia,Flores,-34.62443,-58.45625,Entire home/apt,3500,1,16,2022-07-30,0.34,1,171,7,23.08
5825,29735534,"Precioso Dúplex Colonial San Telmo.  Único,mágico.",164345977,Mariló,Monserrat,-34.61548,-58.37806,Private room,5878,2,37,2022-08-15,0.8,3,365,7,38.76
5827,29737685,Habitacion We The People Palermo Hollywood,171354556,We The People,Palermo,-34.57793,-58.4362,Private room,5066,1,54,2022-09-08,1.38,14,124,27,33.4
5828,29914912,Hermoso depto nuevo a 50 m de subte.,224929425,Luciano,San Cristobal,-34.62179,-58.39902,Entire home/apt,4343,25,1,2019-11-05,0.03,1,363,0,28.63
5829,29739159,Hermoso Estudio en Palermo Hollywood,14537736,Lorena & Claudio,Palermo,-34.57981,-58.43705,Entire home/apt,7238,2,50,2022-08-06,1.06,1,341,9,47.72
5830,29915366,Disfrutando Buenos Aires,27891544,Nora,Retiro,-34.59275,-58.37878,Entire home/apt,4218,3,18,2022-08-25,0.39,1,327,5,27.81
5831,29750690,El mejor lugar para vivir Buenos Aires...,44753060,Mariano,San Nicolas,-34.60785,-58.3771,Entire home/apt,3247,2,208,2022-08-31,4.4,2,82,41,21.41
5832,29752834,Puerto Madero exclusivo studio con parking privado,223827242,Pedro,Puerto Madero,-34.61789,-58.35887,Entire home/apt,13000,8,20,2022-04-30,0.46,1,60,1,85.71
5833,29916589,"VivIr Palermo!. Dpto Luminoso, Cómodo y Seguro.",38155483,Ingrid,Palermo,-34.59723,-58.42015,Entire home/apt,4343,2,69,2022-09-19,1.49,1,53,12,28.63
5834,29919017,Bright and spacious one bedroom in Palermo Soho,6209382,Virginia,Palermo,-34.58301,-58.42857,Entire home/apt,3619,6,5,2022-01-30,0.11,2,110,1,23.86
5835,29754016,"STUDIO, SUPER CONFORTABLE 
EN LAS CAÑITAS",150471058,Luz,Palermo,-34.56689,-58.43317,Entire home/apt,4500,6,15,2020-03-07,0.32,1,295,0,29.67
5836,29919264,Cozy and sunny apartment in BA,7667722,Maite,Belgrano,-34.56345,-58.45924,Entire home/apt,3908,28,1,2019-01-31,0.02,2,0,0,25.77
5837,29754677,"Loft en Palermo Hollywood c/cochera, piscina y Sum",223845986,Marcela,Palermo,-34.58731,-58.44013,Entire home/apt,6514,1,173,2022-09-11,3.68,1,53,75,42.95
5838,29921984,Comfortable & elegant apartment,24334682,Paula,Recoleta,-34.59112,-58.40809,Entire home/apt,12304,4,10,2020-01-04,0.21,3,140,0,81.12
5839,29755560,Habitación Doble Estandar Avellaneda Aparts,223855671,Avellaneda Aparts & Suites,Floresta,-34.63007,-58.48574,Private room,22000,1,2,2021-12-04,0.05,10,360,1,145.05
5840,29757502,Elegance and Comfort in Palermo! Apartment 603,8961849,Stan,Palermo,-34.57845,-58.42797,Entire home/apt,6080,2,42,2022-09-18,0.93,1,330,21,40.09
5841,29923909,Habitación en Floresta,59209010,María Ximena,Floresta,-34.634398937367386,-58.48115266365333,Private room,3185,1,0,0,0.0,1,358,0,21.0
5842,29771448,The best view of Palermo !,223989985,Ester,Palermo,-34.58921,-58.41104,Entire home/apt,11477,3,21,2022-07-26,0.45,1,308,5,75.67
5843,29924207,SUNNY STUDIO 7 - monoambiente super luminoso,5290110,Sofía,Saavedra,-34.54444,-58.47182,Entire home/apt,2895,5,36,2022-08-30,0.88,5,21,16,19.09
5844,29771578,Elegant apt. in the best area with the best view.,52402212,Ivone,Retiro,-34.59301,-58.37551,Entire home/apt,5645,4,4,2019-01-29,0.09,1,95,0,37.22
5845,29926252,Apartamento en Palermo con amenities,3469227,Federico,Palermo,-34.58207,-58.42434,Entire home/apt,6803,5,0,0,0.0,132,281,0,44.85
5846,29772069,"2Tu Lugar en San Telmo, Depto de 2 ambientes",108884946,Corina,San Telmo,-34.61839,-58.37062,Entire home/apt,3908,1,8,2022-01-31,0.2,2,273,1,25.77
5847,29773388,Hermoso departamento en el corazón de Palermo.,34908074,Florencia,Palermo,-34.58737,-58.41306,Entire home/apt,5066,3,45,2022-09-16,1.17,1,248,29,33.4
5848,29929425,"Departamento. Retiro, CABA.",175336593,Marcelo,San Nicolas,-34.59888,-58.37265,Entire home/apt,5356,2,30,2022-09-18,0.64,1,87,19,35.31
5849,29774465,Modern & Sunny Apartment in Palermo Hollywood,200823798,Luciano,Palermo,-34.57746,-58.43554,Entire home/apt,5273,3,58,2022-09-16,1.29,4,85,12,34.77
5850,29778122,Confortable and Quiet High Rise Apartment to Share,4084435,Francisco,Caballito,-34.61857,-58.4443,Shared room,11580,1,0,0,0.0,1,83,0,76.35
